time,open,high,low,close,volume
2025-10-30 00:00:00,3927.13,3930.58,3916.16,3922.17,823.0
2025-10-30 00:05:00,3922.22,3935.3,3917.3,3930.5,403.0
2025-10-30 00:10:00,3930.44,3939.96,3930.27,3938.34,369.0
2025-10-30 00:15:00,3937.9,3945.08,3930.44,3931.08,428.0
2025-10-30 00:20:00,3931.09,3932.98,3925.21,3932.98,398.0
2025-10-30 00:25:00,3932.97,3940.72,3932.31,3937.56,364.0
2025-10-30 00:30:00,3937.57,3937.73,3931.39,3935.38,389.0
2025-10-30 00:35:00,3935.35,3940.37,3934.6,3939.08,373.0
2025-10-30 00:40:00,3938.94,3942.43,3937.74,3941.42,386.0
2025-10-30 00:45:00,3941.42,3948.33,3940.57,3946.34,401.0
2025-10-30 00:50:00,3946.32,3946.97,3942.81,3944.23,359.0
2025-10-30 00:55:00,3944.23,3946.0,3940.74,3941.41,358.0
2025-10-30 01:00:00,3941.3,3943.15,3939.56,3942.73,383.0
2025-10-30 01:05:00,3942.54,3948.44,3941.53,3942.12,397.0
2025-10-30 01:10:00,3942.12,3947.12,3941.79,3946.1,356.0
2025-10-30 01:15:00,3946.09,3948.54,3943.92,3946.35,341.0
2025-10-30 01:20:00,3946.36,3950.28,3946.2,3949.84,344.0
2025-10-30 01:25:00,3949.85,3951.25,3948.86,3950.42,347.0
2025-10-30 01:30:00,3950.4,3950.64,3948.21,3949.99,336.0
2025-10-30 01:35:00,3950.03,3950.03,3947.4,3949.36,353.0
2025-10-30 01:40:00,3949.36,3949.41,3944.3,3945.12,363.0
2025-10-30 01:45:00,3945.14,3952.15,3941.2,3952.08,395.0
2025-10-30 01:50:00,3952.1,3952.1,3946.94,3947.25,382.0
2025-10-30 01:55:00,3946.98,3953.94,3946.78,3952.81,347.0
2025-10-30 02:00:00,3952.81,3962.85,3952.04,3959.17,457.0
2025-10-30 02:05:00,3959.16,3960.74,3956.72,3959.66,400.0
2025-10-30 02:10:00,3959.9,3959.9,3955.26,3956.76,373.0
2025-10-30 02:15:00,3956.76,3961.57,3955.3,3961.28,364.0
2025-10-30 02:20:00,3961.35,3964.19,3958.16,3959.02,394.0
2025-10-30 02:25:00,3959.0,3960.85,3955.92,3958.87,408.0
2025-10-30 02:30:00,3959.5,3959.75,3955.6,3957.07,331.0
2025-10-30 02:35:00,3956.85,3957.51,3947.76,3949.92,427.0
2025-10-30 02:40:00,3949.79,3951.09,3941.52,3941.83,438.0
2025-10-30 02:45:00,3941.79,3951.13,3938.13,3944.6,472.0
2025-10-30 02:50:00,3944.25,3948.35,3941.73,3947.05,417.0
2025-10-30 02:55:00,3947.01,3953.43,3947.01,3950.27,418.0
2025-10-30 03:00:00,3951.01,3962.36,3951.01,3960.28,490.0
2025-10-30 03:05:00,3960.08,3966.44,3955.02,3955.34,463.0
2025-10-30 03:10:00,3955.37,3955.38,3945.4,3950.3,473.0
2025-10-30 03:15:00,3950.02,3951.89,3947.28,3950.59,434.0
2025-10-30 03:20:00,3950.59,3957.05,3950.29,3952.67,461.0
2025-10-30 03:25:00,3952.6,3953.01,3945.17,3950.25,464.0
2025-10-30 03:30:00,3950.26,3956.96,3948.46,3956.57,456.0
2025-10-30 03:35:00,3956.74,3959.78,3949.55,3949.63,437.0
2025-10-30 03:40:00,3949.57,3957.88,3947.59,3957.81,448.0
2025-10-30 03:45:00,3957.75,3958.5,3950.75,3951.59,430.0
2025-10-30 03:50:00,3951.69,3953.82,3949.19,3949.37,409.0
2025-10-30 03:55:00,3949.1,3951.28,3945.88,3947.94,440.0
2025-10-30 04:00:00,3947.9,3948.03,3937.39,3937.49,439.0
2025-10-30 04:05:00,3937.47,3942.82,3931.89,3932.44,450.0
2025-10-30 04:10:00,3932.63,3937.97,3926.45,3936.36,458.0
2025-10-30 04:15:00,3936.19,3938.07,3933.34,3935.93,393.0
2025-10-30 04:20:00,3936.45,3938.33,3933.55,3933.55,351.0
2025-10-30 04:25:00,3933.82,3936.73,3932.52,3933.88,380.0
2025-10-30 04:30:00,3933.84,3940.18,3931.01,3938.34,427.0
2025-10-30 04:35:00,3938.35,3941.75,3935.82,3937.87,429.0
2025-10-30 04:40:00,3937.83,3940.45,3935.55,3936.97,377.0
2025-10-30 04:45:00,3937.2,3938.51,3928.68,3929.36,416.0
2025-10-30 04:50:00,3929.33,3932.38,3925.93,3928.93,420.0
2025-10-30 04:55:00,3928.9,3929.26,3921.43,3921.86,420.0
2025-10-30 05:00:00,3921.84,3922.92,3915.08,3920.35,465.0
2025-10-30 05:05:00,3920.07,3927.92,3920.02,3924.26,414.0
2025-10-30 05:10:00,3924.16,3929.19,3923.8,3928.69,365.0
2025-10-30 05:15:00,3928.78,3929.99,3925.93,3929.79,392.0
2025-10-30 05:20:00,3929.9,3931.23,3928.9,3930.46,365.0
2025-10-30 05:25:00,3930.47,3934.72,3929.38,3932.83,359.0
2025-10-30 05:30:00,3933.01,3937.09,3932.64,3935.09,346.0
2025-10-30 05:35:00,3935.3,3937.81,3935.27,3936.66,294.0
2025-10-30 05:40:00,3936.74,3936.94,3931.58,3932.55,350.0
2025-10-30 05:45:00,3932.59,3933.89,3930.41,3930.41,317.0
2025-10-30 05:50:00,3930.41,3936.12,3929.79,3934.04,313.0
2025-10-30 05:55:00,3934.05,3938.21,3932.24,3938.01,314.0
2025-10-30 06:00:00,3938.1,3942.17,3936.77,3936.79,401.0
2025-10-30 06:05:00,3936.96,3943.08,3935.02,3941.74,392.0
2025-10-30 06:10:00,3941.48,3943.76,3939.97,3943.13,410.0
2025-10-30 06:15:00,3943.04,3949.7,3941.62,3949.14,429.0
2025-10-30 06:20:00,3949.03,3953.48,3947.49,3952.4,417.0
2025-10-30 06:25:00,3952.3,3958.99,3951.94,3958.94,429.0
2025-10-30 06:30:00,3959.31,3970.62,3958.62,3969.31,441.0
2025-10-30 06:35:00,3969.33,3981.79,3966.06,3972.59,506.0
2025-10-30 06:40:00,3972.84,3980.36,3972.48,3978.81,453.0
2025-10-30 06:45:00,3978.81,3981.75,3974.49,3978.18,428.0
2025-10-30 06:50:00,3978.19,3981.86,3973.86,3974.43,416.0
2025-10-30 06:55:00,3974.4,3976.39,3971.43,3972.7,398.0
2025-10-30 07:00:00,3972.69,3978.55,3970.38,3971.48,437.0
2025-10-30 07:05:00,3971.55,3974.06,3969.28,3972.55,409.0
2025-10-30 07:10:00,3972.63,3972.87,3960.9,3962.69,429.0
2025-10-30 07:15:00,3963.3,3964.87,3957.35,3958.44,436.0
2025-10-30 07:20:00,3958.43,3964.7,3958.07,3958.29,407.0
2025-10-30 07:25:00,3958.04,3958.04,3948.99,3950.24,451.0
2025-10-30 07:30:00,3950.36,3955.09,3947.18,3955.04,462.0
2025-10-30 07:35:00,3955.02,3959.25,3954.76,3957.7,432.0
2025-10-30 07:40:00,3957.73,3963.58,3957.69,3962.59,432.0
2025-10-30 07:45:00,3962.57,3970.78,3961.29,3968.5,431.0
2025-10-30 07:50:00,3968.5,3973.61,3964.76,3965.36,461.0
2025-10-30 07:55:00,3965.15,3965.42,3961.01,3963.64,373.0
2025-10-30 08:00:00,3963.69,3970.84,3961.07,3966.88,410.0
2025-10-30 08:05:00,3966.81,3969.82,3962.55,3965.0,421.0
2025-10-30 08:10:00,3964.82,3965.98,3956.5,3962.11,431.0
2025-10-30 08:15:00,3961.99,3966.82,3958.96,3966.14,411.0
2025-10-30 08:20:00,3966.09,3970.76,3958.78,3962.84,445.0
2025-10-30 08:25:00,3963.22,3967.14,3960.18,3965.04,403.0
2025-10-30 08:30:00,3965.66,3968.17,3960.65,3961.81,418.0
2025-10-30 08:35:00,3961.49,3964.26,3956.66,3961.08,417.0
2025-10-30 08:40:00,3961.06,3965.79,3960.01,3965.68,406.0
2025-10-30 08:45:00,3965.7,3968.17,3962.06,3967.33,366.0
2025-10-30 08:50:00,3967.32,3967.84,3963.91,3965.87,376.0
2025-10-30 08:55:00,3966.33,3976.95,3965.81,3976.72,429.0
2025-10-30 09:00:00,3975.72,3977.11,3971.01,3974.83,412.0
2025-10-30 09:05:00,3974.57,3974.62,3969.3,3970.25,410.0
2025-10-30 09:10:00,3970.18,3975.51,3969.76,3970.21,410.0
2025-10-30 09:15:00,3970.21,3972.51,3967.43,3968.85,403.0
2025-10-30 09:20:00,3968.83,3972.22,3968.42,3968.73,351.0
2025-10-30 09:25:00,3968.73,3968.8,3959.99,3968.03,429.0
2025-10-30 09:30:00,3968.23,3969.88,3960.97,3961.65,375.0
2025-10-30 09:35:00,3961.59,3965.35,3958.76,3963.42,406.0
2025-10-30 09:40:00,3963.38,3965.98,3960.75,3961.74,383.0
2025-10-30 09:45:00,3961.79,3961.98,3958.86,3959.94,390.0
2025-10-30 09:50:00,3959.92,3960.72,3957.64,3958.92,332.0
2025-10-30 09:55:00,3958.94,3961.61,3955.94,3961.58,382.0
2025-10-30 10:00:00,3961.53,3967.26,3960.08,3964.41,448.0
2025-10-30 10:05:00,3964.43,3966.25,3961.02,3965.03,427.0
2025-10-30 10:10:00,3965.01,3969.52,3964.17,3965.49,431.0
2025-10-30 10:15:00,3965.6,3971.7,3964.28,3969.25,401.0
2025-10-30 10:20:00,3969.25,3970.06,3966.36,3967.99,369.0
2025-10-30 10:25:00,3967.69,3974.25,3967.36,3972.95,400.0
2025-10-30 10:30:00,3972.94,3973.87,3968.95,3971.53,412.0
2025-10-30 10:35:00,3971.4,3971.81,3968.41,3971.72,364.0
2025-10-30 10:40:00,3971.74,3975.02,3970.19,3974.02,402.0
2025-10-30 10:45:00,3974.18,3974.31,3971.55,3971.67,411.0
2025-10-30 10:50:00,3971.72,3974.83,3971.7,3973.35,386.0
2025-10-30 10:55:00,3973.38,3976.72,3972.43,3976.53,396.0
2025-10-30 11:00:00,3976.42,3990.25,3976.0,3989.49,467.0
2025-10-30 11:05:00,3989.45,3997.68,3989.1,3994.97,453.0
2025-10-30 11:10:00,3994.98,4006.41,3994.97,4004.91,469.0
2025-10-30 11:15:00,4004.86,4011.8,4002.38,4004.49,452.0
2025-10-30 11:20:00,4004.44,4008.27,4000.6,4000.91,421.0
2025-10-30 11:25:00,4000.88,4004.67,3999.86,4004.44,404.0
2025-10-30 11:30:00,4004.39,4005.59,4001.26,4001.76,412.0
2025-10-30 11:35:00,4002.03,4007.13,4001.67,4005.56,431.0
2025-10-30 11:40:00,4005.59,4005.95,4000.23,4005.83,423.0
2025-10-30 11:45:00,4005.67,4006.28,3995.18,3995.73,389.0
2025-10-30 11:50:00,3995.73,4000.5,3992.66,3997.66,427.0
2025-10-30 11:55:00,3997.62,4000.63,3996.76,3998.62,404.0
2025-10-30 12:00:00,3998.16,4001.01,3996.18,3998.33,399.0
2025-10-30 12:05:00,3998.15,3999.78,3997.19,3997.57,387.0
2025-10-30 12:10:00,3997.4,3999.07,3996.66,3998.13,344.0
2025-10-30 12:15:00,3998.14,3998.98,3993.63,3993.63,351.0
2025-10-30 12:20:00,3993.59,3993.6,3982.72,3986.16,446.0
2025-10-30 12:25:00,3986.3,3990.56,3985.67,3987.25,417.0
2025-10-30 12:30:00,3986.33,3988.54,3979.69,3979.73,450.0
2025-10-30 12:35:00,3979.85,3981.2,3973.77,3981.02,472.0
2025-10-30 12:40:00,3981.25,3983.79,3979.29,3982.12,407.0
2025-10-30 12:45:00,3982.26,3984.16,3979.67,3982.0,405.0
2025-10-30 12:50:00,3982.09,3987.18,3981.13,3985.92,416.0
2025-10-30 12:55:00,3985.87,3986.5,3982.08,3984.26,388.0
2025-10-30 13:00:00,3984.31,3984.88,3981.25,3982.54,403.0
2025-10-30 13:05:00,3982.04,3983.18,3978.73,3978.74,419.0
2025-10-30 13:10:00,3978.91,3981.69,3976.88,3977.2,414.0
2025-10-30 13:15:00,3977.1,3977.7,3971.54,3971.86,449.0
2025-10-30 13:20:00,3972.02,3972.67,3963.78,3970.71,449.0
2025-10-30 13:25:00,3970.84,3970.87,3965.23,3965.94,413.0
2025-10-30 13:30:00,3965.64,3972.43,3965.22,3972.06,428.0
2025-10-30 13:35:00,3972.1,3976.42,3971.43,3973.22,416.0
2025-10-30 13:40:00,3973.25,3973.8,3969.96,3973.34,386.0
2025-10-30 13:45:00,3973.31,3976.2,3971.26,3973.18,379.0
2025-10-30 13:50:00,3973.18,3973.99,3971.0,3973.12,351.0
2025-10-30 13:55:00,3973.12,3976.5,3972.77,3974.35,363.0
2025-10-30 14:00:00,3974.45,3982.13,3973.6,3978.25,441.0
2025-10-30 14:05:00,3978.74,3981.72,3978.15,3979.42,382.0
2025-10-30 14:10:00,3979.61,3982.65,3973.84,3982.26,413.0
2025-10-30 14:15:00,3982.28,3985.04,3979.99,3980.44,429.0
2025-10-30 14:20:00,3980.5,3984.49,3977.56,3977.85,427.0
2025-10-30 14:25:00,3978.49,3980.54,3970.93,3970.93,426.0
2025-10-30 14:30:00,3970.86,3974.7,3966.88,3971.61,470.0
2025-10-30 14:35:00,3971.74,3979.41,3971.53,3976.79,442.0
2025-10-30 14:40:00,3976.64,3980.17,3976.16,3977.21,416.0
2025-10-30 14:45:00,3976.4,3978.84,3967.38,3967.38,453.0
2025-10-30 14:50:00,3967.47,3974.2,3966.99,3972.32,424.0
2025-10-30 14:55:00,3972.05,3973.38,3960.84,3961.47,461.0
2025-10-30 15:00:00,3961.64,3975.68,3959.93,3974.3,481.0
2025-10-30 15:05:00,3974.49,3976.88,3970.87,3972.42,454.0
2025-10-30 15:10:00,3972.41,3977.99,3971.83,3975.63,397.0
2025-10-30 15:15:00,3975.69,3976.36,3971.39,3973.85,406.0
2025-10-30 15:20:00,3973.84,3976.19,3970.83,3975.57,439.0
2025-10-30 15:25:00,3975.27,3976.19,3969.44,3970.03,448.0
2025-10-30 15:30:00,3969.65,3978.83,3966.87,3969.27,488.0
2025-10-30 15:35:00,3969.34,3974.75,3964.69,3968.88,478.0
2025-10-30 15:40:00,3968.58,3975.22,3963.25,3974.95,477.0
2025-10-30 15:45:00,3974.63,3981.18,3974.26,3975.75,469.0
2025-10-30 15:50:00,3976.0,3989.43,3975.04,3987.85,471.0
2025-10-30 15:55:00,3987.87,3995.33,3987.69,3995.33,472.0
2025-10-30 16:00:00,3995.28,4000.86,3991.81,3998.16,469.0
2025-10-30 16:05:00,3998.29,4013.44,3997.42,4009.84,491.0
2025-10-30 16:10:00,4009.5,4014.61,4005.63,4010.87,492.0
2025-10-30 16:15:00,4011.07,4013.05,4004.69,4007.32,483.0
2025-10-30 16:20:00,4007.2,4009.9,3997.05,4003.52,484.0
2025-10-30 16:25:00,4003.46,4003.46,3995.91,3998.53,472.0
2025-10-30 16:30:00,3998.48,4000.84,3992.29,3995.83,453.0
2025-10-30 16:35:00,3995.92,3996.49,3988.1,3991.55,461.0
2025-10-30 16:40:00,3991.95,3994.22,3986.58,3993.45,470.0
2025-10-30 16:45:00,3993.48,4002.04,3989.0,3998.75,470.0
2025-10-30 16:50:00,3999.09,4000.05,3995.38,3996.31,466.0
2025-10-30 16:55:00,3996.31,3998.34,3990.8,3996.33,463.0
2025-10-30 17:00:00,3996.73,3999.79,3990.63,3996.07,466.0
2025-10-30 17:05:00,3996.07,3997.28,3988.44,3996.43,462.0
2025-10-30 17:10:00,3996.13,4003.33,3996.04,4000.02,469.0
2025-10-30 17:15:00,4000.02,4002.75,3997.72,4000.51,451.0
2025-10-30 17:20:00,4000.62,4000.84,3996.26,3996.37,439.0
2025-10-30 17:25:00,3996.46,4000.15,3995.17,3998.25,420.0
2025-10-30 17:30:00,3998.43,4002.55,3997.75,4001.83,428.0
2025-10-30 17:35:00,4001.84,4003.39,3999.0,4001.17,436.0
2025-10-30 17:40:00,4001.21,4005.29,3998.93,4004.7,448.0
2025-10-30 17:45:00,4004.82,4008.13,4002.93,4005.68,456.0
2025-10-30 17:50:00,4005.81,4006.44,4003.05,4004.73,403.0
2025-10-30 17:55:00,4004.8,4007.5,4001.36,4002.02,435.0
2025-10-30 18:00:00,4001.76,4003.96,3995.68,3997.23,445.0
2025-10-30 18:05:00,3997.3,4001.29,3996.29,3997.9,419.0
2025-10-30 18:10:00,3997.91,3999.6,3993.91,3994.64,401.0
2025-10-30 18:15:00,3994.81,3998.67,3991.73,3996.34,430.0
